,raw_comment,standard_comment,label,mark
2704,Chất ok. Nhưng phần lưng áo bị bẩn không biết giặt sạch không,bẩn không_biết chất ok nhưng phần áo bị không,-1,1
2889,Thấy mn kêu không mỏng nên mới mua ai dè hàng về mỏng như lá lúa :)) mặc bra trắng mà thấy hết ở trong thì  cũng chịu hẳn,thấy người không nên mua hàng về như mặc mà thấy ở thì cũng,-1,1
5353,Khách dựa vào kích thước size shop đưa ra để chọn size phù hợp. CHẤP NHẬN SAI SỐ TỪ 1-3cm. Nhưng rõ ràng váy nhận về NHỎ HƠN 8CM? Và shop Không giải quyết mà trả lời NGANG NHƯ CUA. Còn bảo mình xem bạn bè có ai mặc được không.Ủa gì vậy ?Vậy tôi mua cho ai? Vậy shop để kích thước làm gì vậy??,trả phù_hợp không_giải_quyết khách vào shop ra để nhưng về hơn và shop mà như còn mình xem có mặc được không gì vậy vậy tôi mua cho vậy_shop để làm gì vậy,-1,1
6122,"Bùn ghê, bỏ máy giặt giặt xong mặt thì rách cái lớp lót ở trong, không biết do phải giặt máy không, mà nó ra như vậy.",rách không_biết thì cái ở không mà nó ra như vậy,-1,1
13449,"nịtt không giống mẫu , shop giao sai mẫu , nịt thì bị cong mấy chỗ , không bấm lỗ sẵn , nên mìk cho shop 1 sao 🤦‍♀️🤦‍♀️------> chán cách làm ăn của shop này 😒
P/s : hình ảnh mang tính chất nhận xu",chán làm_ăn giao_sai không_giống shop thì bị không nên cho shop sao của shop này chất 🤦‍♀️ 😒,-1,1
15198,"Mình nhận được gọng kính mỏng, lệch. Không cắt kính được. Liên hệ với shop và shop đã chỉ cho mình cách sửa vì mình rất ngại việc gửi đi gửi về. Tuy nhiên, mình vẫn đánh giá trung thực. Thay vì đợi khách hàng phản ánh mới sửa làm mất thời gian của họ thì nên kiểm tra hàng trước khi giao cho khách.",mình được không được với shop và shop đã chỉ cho mình vì mình rất đi về mình vẫn vì khách_hàng làm của thì nên hàng khi giao cho khách,-1,1
21411,"Quần như vãi vụn cắt ra vậy ko giống hình,size thì nhỏ,trc giờ mua bao nhiu shop duy chỉ shop này là quần xấu kinh hồn,đường cắt thì nham nhở,ko gặp viền ,đáy quần ngắn như cho con nít mặc,xỏ vô thì bị xoan đường quần mua chie phí tiền mà thêm bực,mua bỏ không chả mặc đc",bực chả_mặc phí_tiền không_giống_hình quần như ra vậy thì mua shop chỉ shop này là quần thì không quần như cho mặc thì bị quần mua mà thêm mua không được,-1,1
24561,"thời gian giao hàng lâu
vòng màu không đậm
đóng hàng chắc chắn",chắc_chắn giao_hàng_lâu màu không đóng hàng,-1,1
24803,"Shop làm ăn lừa đảo, giao thiếu kính, khách nhắn tin không thèm trả lời. Shoppe không vho khách kiểm hàng có quá thiệt thòi cho khách không vậy? Mn ko nên mua nha, kính mắt không đẹp như hình đâu.",trả làm_ăn mua_nha lừa_đảo như_hình không_đẹp không_thèm giao_thiếu không_nên_mua shop khách không khách_hàng có quá cho khách không vậy người không nên đâu,-1,1
26994,"Da góc bị rạn như hình. Trong túi còn có vết bẩn, lau bằng khăn ướt cũng không sạch. Cúc bị xước nhằng nhịt như đồ cũ. Nhìn rất chán đời. Không hiểu sao có thể gửi cho khách đồ như vậy đc.",bẩn chán như_hình không_hiểu bị còn có cũng không bị như nhìn rất sao có cho khách như vậy được,-1,1
28368,"Quần xám bị ố vàng, vải cứng. Không biết nên mặc hay không",không_biết quần bị nên mặc không,-1,1
32274,Áo ngực thiết kế không dây không giống ảnh,không_giống_ảnh áo không,-1,1
34296,Đặt màu bạc shop lại giao màu vàng. Quá hạn trả hàng hoàn tiền rồi nên phải nhận chứ không thì cũng trả lại. Hic,trả màu_bạc giao_màu đặt shop lại quá hàng rồi nên chứ không thì cũng lại,-1,1
35538,"Shop giao hàng mình thiếu nè 
Thật sự, mua hàng quốc tế luôn luôn lo lắng bị thiếu hàng, tự dưng vứt tiền đi mà không nhận được gì cả :)) 
Nên mình khuyên chân thành bạn nào nhắm mắt mua rồi nghĩ mình không bị thiếu hàng đâu thì nên tìm những shop không bị phốt thiếu hàng mà mua",bị_phốt thiếu_hàng không_nhận_được shop giao hàng mình nè mua hàng luôn_luôn bị đi mà gì cả nên mình nào mua rồi mình không bị đâu thì nên shop không mà mua,-1,1
36686,"Broken everything - Packing is so bad bad badly 
Bể hết toàn bộ má hồng - nhập về không cài được cái nào hết vì order TQ nên quy trình đổi trả cũng chẳng chấp nhận - Nói chung chán !",trả chán chẳng_chấp_nhận về không được cái nào vì nên cũng nói_chung,-1,1
37585,Rất không đáng đồng tiền. Khách hàng đang cần gấp phải chạy qua tới nơi để lấy hàng. Trưa điện thoại đã nói rõ chiều nay giao muộn muốn tí được không ạ? Không là không mai giao sớm? Tại sao không giao chiều? Shop làm ăn mất uy tín vậy sao bán được?,làm_ăn không_đáng không_giao rất khách_hàng để hàng đã nói giao được không ạ không là không giao sao shop vậy sao bán được,-1,1
40009,"Hàng lỗi như vậy mà giao được cũng hay, nhắn tin yêu cầu giải quyết shop không thèm trả lời, đợi hàng về đã lâu, còn gặp tình trạng như thế này, mua ở shop rất nhiều đơn rồi không ngờ hôm nay shop giao hàng cho mình như vậy, quá thất vọng, mn ko nên mua nhe",lâu trả thất_vọng không_thèm không_nên_mua hàng như vậy mà giao được cũng shop hàng về đã còn như thế này mua ở shop rất rồi không shop giao hàng cho mình như vậy quá người,-1,1
40559,"Mk đặt mẫu 25 đính ngọc, shop lại giao sai mẫu cho mk, đã vậy cặp tay cầm xấu, có vết xước giốg dùng rồi, sẽ không quay lại lần nữa, thời gian giao hàng thì lâu,",lâu giao_sai quay_lại đặt shop lại cho đã vậy có rồi sẽ không nữa giao hàng thì,-1,1
41035,"Không ngờ là nhỏ xíu tới mức này luôn ấy, cứ tưởng to lắm chứ;(((((",không là này luôn lắm chứ,-1,1
41291,"Xem nhựa có chán không chứ. Còn túi cột tóc nữa, chả thấy chất lượng chỗ nào cả . Cứ như hàng chợ vậy",chán xem có không chứ còn nữa thấy chất_lượng nào cả như hàng vậy,-1,1
41404,"Lần nào cũng giao sai mẫu hoặc hư, bể kẹp hết ạ. Không hài lòng thái độ làm ăn như này của shop. Em mua cả 3 lần đều bị như vậy hết, không sai hàng thì lại gãy hoặc không đúng mẫu, rồi tiền của khách như nào ạ???",gãy làm_ăn giao_sai không_đúng nào cũng ạ không như này của shop em mua cả bị như vậy không hàng thì lại rồi của khách như nào ạ,-1,1
41557,"Hong sắc nét, mặn mà cho lắm. Kẹp bị dơ, màu sơn không đều, nhìn kĩ hơi buồn- nhưng kẹp lên đầu rồi chiếu chiếu nên thấy =))",dơ mà cho lắm bị màu không nhìn nhưng lên rồi nên thấy,-1,1
41597,Kẹp bị trầy xước và cũ . Không hài lòng,trầy_xước bị và không,-1,1
43655,"Pack đẹp, nhưng khi hoàn hàng thì shopee bảo nhận được son nắp màu khác thay vì nắp đen và không hoàn lại sản phẩm cho mình luôn",nhưng khi hàng thì được màu vì đen và không lại sản_phẩm cho mình luôn,-1,1
43867,"Săn sale từ hôm 12 mà nay mới nhận được. Thứ nhất về chất son bôi lên qua mấy lần chà nhẹ là đi hết. Không vương vấn 1 màu gì lên môi cả. Mà son cũng k bám môi nên bôi lên quẹt mãi mới đều, mà đến khi đều cũng hết son. Thứ 2 là rút vào rút ra vài ba lần son lem hết trên nắp.",mà được về chất lên là đi không màu gì lên cả mà cũng không nên lên mà đến khi cũng là vào ra,-1,1
43973,Mình không hài lòng về cách quảng cáo và giao hàng thực tế của shop. Quảng cáo mua 1 son tặng 1 son mà khi về lại có 1 son kèm theo 2 cái mặt nạ,mình không về và giao hàng của shop mua mà khi về lại có cái,-1,1
44676,"Quà gói cẩn thận, được tặng kẹp dễ thương. Mình mua V30 lại được tặng 1 cây V30 luôn, ngộ quá à, lẽ ra nên tặng màu khác để khách còn trải nghiệm chứ. Chất son mượt, mịn nhưng không lì. Chùi 1 phát ra ngay. Mình quẹt 3 lớp mà màu chỉ hơi hồng hồng kiểu đánh son dưỡng có màu í,  thất vọng",cẩn_thận dễ_thương thất_vọng gói được mình mua vậy lại được vậy luôn quá ra nên màu để khách còn chứ chất nhưng không ra mình mà màu chỉ có màu,-1,1
45053,"Shop không uy tín, đặt hàng màu đen mà giao màu nâu, shop không đáng tin cậy.",đặt_hàng giao_màu không_đáng shop không màu đen mà shop,-1,1
45705,"Đặt 2 đen 2 nâu mà lại giao 4 nâu.Gọi 2 cuộc không bắt máy, nhắn tin không trả lời. Lần này mua cực kì thất vọng về shop.",thất_vọng không_trả_lời đặt đen mà lại giao không này mua về shop,-1,1
45760,"Hơi nhỏ. Không hài lòng lắm. Khuy bấm quá cứng, khó bấm vào vì sợ rách",rách hơi_nhỏ không lắm quá vào vì,-1,1
48013,"Hàng giao nhanh, nhưng Shop giao thiếu cho mình sản phẩm này, mình có thắc mắc mà không phản hồi ạ.",giao_thiếu giao_nhanh hàng nhưng shop cho mình sản_phẩm này mình có mà không ạ,-1,1
49204,"vải thô, chất vải không co dãn, size 45-48kg quá to so với cân nặng, mọi người cân nhắc trước khi mua",cân_nhắc chất_vải không không quá với người khi mua,-1,1
49574,Đặt màu vàng nhưng lại giao màu hồng. Sao không kiểm tra trước khi giao vậy shop ơi.,giao_màu đặt màu nhưng lại sao không khi giao vậy shop,-1,1
50426,Sản phẩm không tương xứng với giá tiền.,sản_phẩm không với,-1,1
50455,Nút chốt bị lờn không gài được,bị không được,-1,1
50823,"Shop nhấn tin không hồi âm khi SP bị lỗi - mắt kính bị trầy, lỗi ...",bị_lỗi shop không khi sản_phẩm bị,-1,1
51092,Đã nhận đồ. Mua đồ bên này 3 lần thì đơn nào cũng thiếu đơn thiếu vòng đơn này lại thiếu set nhẫn :)) shop thì nước ngoài phản hồi họ còn chả thèm rep. Chả đang bn nhưng lần nào cũng thiếu không nói gì đc đà. Khuyên mn đặt nên lấy ít thôi nhiều họ toàn lấy thiếu cho bực cả mình.,bực đã mua bên này thì nào cũng này lại shop thì còn nhưng nào cũng không nói gì được người đặt nên thôi cho cả mình,-1,1
51950,"Ưu điểm giao hàng nhanh,đôi trắng còn đc nhưng đôi bông tai đen dài không giống hình, chỗ khuyên đeo mỏng manh, một bên bị nứt, không hề dày dặn như hình shop đăng, mong chờ nhất đôi đấy mà thất vọng quá",như_hình thất_vọng giao_hàng_nhanh không_giống_hình còn được nhưng đen một bên bị không shop mà quá,-1,1
52313,Giao thiếu đồ và cách shop giải quyết là bắt khách kiên nhẫn chờ từ ngày này qua ngày khác và kh có giải quyết. Trong khi dán tiếng trung chỉ có 4 món hàng tôi đặt 5 món hàng. Vậy có được xem là cố tình đặt thiếu không.,không_có giao_thiếu và shop là khách này và khi chỉ có hàng tôi đặt_hàng vậy có được xem là đặt không,-1,1
53022,"Đc cái vải đẹp, chữ giặt 1 lần đã bong thành cái áo phông bình thường, ib shop để xử lí shop không trả lời mặc dù đã ib rất nhiều lần. Không hài lòng",vải_đẹp bình_thường không_trả_lời được cái đã cái áo shop để shop mặc đã rất không,-1,1
53287,"Shop giao hàng đủ, nhưng sản phẩm này không thơm như quảng cáo. Giặt cho đến vài viên cũng không có mùi gì , như giặt vs nước lã vậy.",không_có shop giao hàng nhưng sản_phẩm này không như cho đến cũng gì như với vậy,-1,1
53669,mình mới mua shop lần đầu nhưng không hài lòng lắm. Mua hàng nhiều rồi k nghĩ với giá tiền này chất lượng nhìn ban đầu lại kém thế. Nhìn may lệch chỉ là k chấp nhận đuoc. Minh dễ tính nên trả cần đổi trả. Thất vọng về sản phẩm,trả thất_vọng không_chấp_nhận mình mua shop nhưng không lắm mua hàng rồi không với này chất_lượng nhìn lại thế nhìn chỉ là nên về sản_phẩm,-1,1
53938,"chất liệu vải cứng và thô mặc vào cảm thấy không thoải mái, đường chỉ may không ổn định, không giống hình.",không_ổn đường_chỉ không_giống_hình chất và mặc vào thấy không,-1,1
